elapsed_sec,board_power_w,cores_active_percent,cpu_freq_ghz,cpu_freq_mhz,cpu_temp,cpu_total,disk_percent,disk_read_rate_mbps,disk_write_rate_mbps,gpu_clock_mhz,gpu_effective_throughput,gpu_temp,gpu_util,load_15m,load_1m,load_5m,mean_core_util,net_errors,net_recv_rate_mbps,net_sent_rate_mbps,peak_core_util,process_count,ram_percent,ram_total_mb,ram_used_mb,swap_percent
0,63.24,0.0,2.582,2581.5,41.1,0.0,14.3,0.0,0.0,1530.0,148.41,39.4,97.0,0.47,1.0,0.81,0.0,0.0,0.0,0.0,0.0,454.0,39.6,125771.7,48184.1,0.0
1,75.79,100.0,2.164,2164.5,41.7,53.4,14.3,7.6,0.0,1530.0,148.41,40.7,97.0,0.47,1.0,0.81,54.6,0.0,66.5,8.4,91.8,454.0,39.6,125771.7,48192.6,0.0
2,78.79,100.0,2.328,2328.0,42.0,55.5,14.3,0.0,0.0,1530.0,148.41,41.3,97.0,0.47,1.0,0.81,56.7,0.0,66.5,8.3,94.3,454.0,39.6,125771.7,48201.8,0.0
3,78.02,100.0,2.601,2601.0,42.6,53.8,14.3,0.0,0.0,1530.0,145.35,41.6,95.0,0.55,2.12,1.05,55.1,0.0,66.3,8.3,94.1,454.0,39.6,125771.7,48195.4,0.0
4,76.76,100.0,2.438,2437.5,42.9,51.0,14.3,0.0,0.0,1530.0,149.94,42.0,98.0,0.55,2.12,1.05,52.7,0.0,67.7,0.6,95.4,454.0,39.6,125771.7,48199.8,0.0
5,76.95,100.0,2.33,2329.5,41.8,53.2,14.3,0.0,0.0,1530.0,149.94,42.1,98.0,0.55,2.12,1.05,54.1,0.0,66.2,8.4,94.0,454.0,39.6,125771.7,48197.1,0.0
6,77.84,100.0,2.319,2319.0,43.4,51.3,14.3,0.0,0.1,1530.0,149.94,42.6,98.0,0.55,2.12,1.05,52.7,0.0,67.4,8.0,91.8,454.0,39.6,125771.7,48195.5,0.0
7,77.61,100.0,2.498,2497.5,43.8,49.2,14.3,0.0,0.0,1530.0,149.94,42.9,98.0,0.55,2.12,1.05,50.8,0.0,65.8,8.5,93.0,454.0,39.6,125771.7,48204.9,0.0
8,81.53,100.0,2.364,2364.0,43.2,51.7,14.3,0.0,0.0,1530.0,148.41,43.2,97.0,0.56,2.19,1.08,53.2,0.0,67.8,0.6,92.9,454.0,39.6,125771.7,48198.2,0.0
9,79.01,100.0,2.518,2518.5,44.2,52.8,14.3,0.0,0.0,1530.0,145.35,43.3,95.0,0.56,2.19,1.08,53.7,0.0,65.4,8.2,92.7,454.0,39.6,125771.7,48193.9,0.0
10,79.63,100.0,2.166,2166.0,44.0,52.3,14.3,0.0,0.0,1530.0,149.94,43.7,98.0,0.56,2.19,1.08,54.3,0.0,67.9,8.3,92.7,454.0,39.6,125771.7,48196.8,0.0
11,78.49,100.0,2.11,2110.5,44.7,52.8,14.3,0.0,0.0,1530.0,149.94,43.7,98.0,0.56,2.19,1.08,54.1,0.0,64.8,8.4,92.7,454.0,39.6,125771.7,48196.0,0.0
